AgentCode,PeriodStart,PeriodEnd,RetentionRate_adj,SubmissionQuality,LRadj_BENEFIT_inverted,EarnedPremium,IncurredLoss,CommissionAmount,CommissionWrittenPremium,EligibleForRenewal,Renewals,PoliciesActive,NewCount,RewriteCount,Submitted,Quoted,Bound,RewrittenPolicyRatio,LossRatio,RetentionRate,LossRatio_adj,ERadj_BENEFIT_inverted,ExpenseRatio_raw,ExpenseRatio,EP_percentile_peer,EP_decile_peer,EP_utility_peer
120000,4/1/2025,3/31/2026,0.9186,0.3256,0.3586,43909.76,15784.33,5617.71,43909.76,14,12,14,2,0,43,34,14,0,0.3595,0.8571,0.6414,0.652,0.227937616,0.348,0.873754153,9,0.973440518
120001,4/1/2025,3/31/2026,0.768,0.2727,0.3692,11460.55,0,1259.5,11460.55,6,3,6,3,0,22,18,6,0,0,0.5,0.6308,0.6809,0.20989874,0.3191,0.089700997,1,0.851130116
120002,4/1/2025,3/31/2026,0.672,0.3214,0.3896,14641.7,0,1485.85,14010.18,9,3,9,5,0,28,21,9,0,0,0.3333,0.6104,0.6924,0.201480702,0.3076,0.159468439,2,0.8734351
120003,4/1/2025,3/31/2026,0.9431,0.3636,0.4062,16952.06,0,1685.21,16952.06,4,4,4,0,0,11,9,4,,0,1,0.5938,0.6957,0.199410337,0.3043,0.225913621,3,0.886776207
120004,4/1/2025,3/31/2026,0.7999,0.34,0.3639,65350.01,29809.4,4996.55,35350.01,17,10,17,6,0,50,39,17,0,0.4561,0.5882,0.6361,0.7197,0.17645829,0.2803,0.973421927,10,1
120005,4/1/2025,3/31/2026,0.8432,0.3333,0.3315,16214.92,4628.52,1980.5,16214.92,6,4,6,2,0,18,16,6,0,0.2854,0.6667,0.6685,0.6605,0.222140596,0.3395,0.202657807,3,0.882728076
120006,4/1/2025,3/31/2026,0.6974,0.3714,0.5206,44219.82,1719.5,3479,32333.6,13,5,13,6,0,35,30,13,0,0.0389,0.3846,0.4794,0.7169,0.178675128,0.2831,0.877076412,9,0.974081257
120007,4/1/2025,3/31/2026,0.6896,0.381,0.4054,16845.28,0,2076.31,16845.28,8,3,8,5,0,21,17,8,0,0,0.375,0.5946,0.6592,0.223257672,0.3408,0.222591362,3,0.886200836
120008,4/1/2025,3/31/2026,0.8324,0.3182,0.4772,28084.69,0,4128.88,27536.8,14,9,14,3,0,44,34,14,0,0,0.6429,0.5228,0.6325,0.247015331,0.3675,0.584717608,6,0.932745171
120009,4/1/2025,3/31/2026,0.9294,0.303,0.4806,28365.34,0,3967.1,28365.34,10,9,10,1,0,33,29,10,0,0,0.9,0.5194,0.6364,0.239857305,0.3636,0.598006645,6,0.9336506
120010,4/1/2025,3/31/2026,0.7992,0.2927,0.298,30723.99,16330.85,3998.3,30417.02,12,7,12,4,0,41,30,12,0,0.5315,0.5833,0.702,0.6496,0.230136092,0.3504,0.651162791,7,0.940923971
120011,4/1/2025,3/31/2026,0.7219,0.4,0.4507,23319.4,0,2625.11,22166.44,14,6,14,6,0,35,28,14,0,0,0.4286,0.5493,0.6756,0.212571936,0.3244,0.415282392,5,0.915813939
120012,4/1/2025,3/31/2026,0.841,0.3077,0.4317,23467.53,960.71,2507.21,23012.2,12,8,12,3,0,39,26,12,0,0.0409,0.6667,0.5683,0.6844,0.206837405,0.3156,0.42192691,5,0.916390528
120013,4/1/2025,3/31/2026,0.8485,0.3421,0.5189,43703.06,1738.95,4235.94,40209.1,13,9,13,3,0,38,27,13,0,0.0398,0.6923,0.4811,0.6995,0.196925478,0.3005,0.867109635,9,0.973010854
120014,4/1/2025,3/31/2026,0.7142,0.3659,0.3239,42508.06,19037.09,5894.16,42508.06,15,6,15,9,0,41,34,15,0,0.4478,0.4,0.6761,0.6391,0.238659821,0.3609,0.843853821,9,0.970486284
120015,4/1/2025,3/31/2026,0.7673,0.3,0.3293,34194.46,14000.63,2136.25,20783.51,12,6,12,4,0,40,28,12,0,0.4094,0.5,0.6707,0.7259,0.16247357,0.2741,0.720930233,8,0.950669067
