CarrierCode,AgentCode,StatementDate,PolicyNumber,TransactionType,WrittenPremium,CommissionPercent,CommissionAmount,DueDate,ReversalIndicator
TRAV,120192,2025-04-30,BVN7537617,Endorsement,9.14,0.1156,1.06,2025-05-15,False
TRAV,120223,2025-04-30,LEK5069502,New,1269.61,0.1278,162.26,2025-05-15,False
TRAV,120241,2025-04-30,HEX8534092,Renewal,3221.99,0.1312,422.73,2025-05-15,False
ALLS,120176,2025-04-30,DFK5066287,Renewal,5287.49,0.0885,467.94,2025-05-15,False
ALLS,120176,2026-04-30,DFK5066287,Audit,560.21,0.0885,49.58,2026-05-15,False
ALLS,120174,2025-10-31,HFV6294771,Cancel,-0.0,0.1898,-0.0,2025-11-15,False
PRGS,120267,2025-04-30,XPK1706867,New,4000.0,0.1245,498.0,2025-05-15,False
PRGS,120075,2025-04-30,TDK3284508,Renewal,9423.16,0.1547,1457.76,2025-05-15,False
ALLS,120163,2025-04-30,RUX0992625,Renewal,1636.2,0.1089,178.18,2025-05-15,False
AMFA,120192,2025-04-30,WYN9779813,New,683.65,0.0782,53.46,2025-05-15,False
AMFA,120219,2025-04-30,RGR7818730,Renewal,231.68,0.122,28.26,2025-05-15,False
NATI,120262,2025-04-30,BZW5002091,Renewal,1394.86,0.1245,173.66,2025-05-15,False
HART,120093,2025-04-30,JEG2836010,Renewal,3909.51,0.1351,528.17,2025-05-15,False
PRGS,120139,2025-04-30,ZRJ0171264,Renewal,2422.1,0.1004,243.18,2025-05-15,False
NATI,120192,2025-04-30,YKA9823210,Renewal,1915.46,0.1149,220.09,2025-05-15,False
ALLS,120143,2025-04-30,XUA2006579,New,1539.01,0.1007,154.98,2025-05-15,False
AMFA,120255,2025-04-30,AKZ4596526,Renewal,4101.34,0.15,615.2,2025-05-15,False
PRGS,120205,2025-04-30,TZD2937538,Renewal,1679.08,0.125,209.88,2025-05-15,False
ALLS,120291,2025-04-30,KEK3297248,Renewal,3357.26,0.1759,590.54,2025-05-15,False
NATI,120026,2025-04-30,AYC4650886,Renewal,1978.86,0.1204,238.25,2025-05-15,False
HART,120268,2026-02-28,THN6839723,Endorsement,38.59,0.1367,5.28,2026-03-15,False
ALLS,120110,2025-04-30,UBN0903964,New,1600.13,0.0957,153.13,2025-05-15,False
ALLS,120283,2025-04-30,HRD5856976,Renewal,3696.24,0.1056,390.32,2025-05-15,False
ALLS,120215,2025-04-30,ECR6646240,Renewal,1724.82,0.0612,105.56,2025-05-15,False
CHUB,120178,2025-04-30,CHM2995807,Renewal,2000.0,0.0711,142.2,2025-05-15,False
TRAV,120115,2025-04-30,BRL3677367,Renewal,1500.0,0.1491,223.65,2025-05-15,False
TRAV,120174,2025-04-30,JAM3576748,Renewal,1500.0,0.1381,207.15,2025-05-15,False
CHUB,120184,2025-04-30,WBR9020529,New,1480.22,0.0818,121.08,2025-05-15,False
CHUB,120296,2025-04-30,HAW6272673,Renewal,1062.2,0.1456,154.66,2025-05-15,False
HART,120009,2025-04-30,SLL4963986,Renewal,1017.58,0.1432,145.72,2025-05-15,False
CHUB,120044,2025-04-30,NBB5542618,Renewal,1751.7,0.1375,240.86,2025-05-15,False
FARM,120041,2025-04-30,DVM6980516,New,2554.75,0.1015,259.31,2025-05-15,False
ALLS,120021,2025-04-30,LEV9399261,New,1773.89,0.0913,161.96,2025-05-15,False
PRGS,120102,2025-04-30,JEW1395623,New,1139.0,0.1036,118.0,2025-05-15,False
ALLS,120071,2025-04-30,JUS6307856,Renewal,1108.48,0.0941,104.31,2025-05-15,False
NATI,120262,2025-04-30,FTD1887351,Renewal,4529.63,0.1888,855.19,2025-05-15,False
LIBM,120282,2025-04-30,JMA0696161,New,846.81,0.0676,57.24,2025-05-15,False
GEIC,120235,2025-04-30,WHX3625956,New,3398.1,0.0736,250.1,2025-05-15,False
TRAV,120182,2025-04-30,HGM9377321,New,916.16,0.0693,63.49,2025-05-15,False
