AgentCode,PeriodStart,PeriodEnd,RetentionRate,LossRatio,CommissionRatio,RewrittenPolicyRatio,EarnedPremium,IncurredLoss,CommissionAmount,CommissionWrittenPremium,EligibleForRenewal,Renewals,PoliciesActive,NewCount,RewriteCount
120000,2025-04-01,2026-03-31,0.86,0.36,0.13,0.0,43909.76,15784.33,5617.71,43909.76,14,12,14,2,0
120001,2025-04-01,2026-03-31,0.5,0.0,0.11,0.0,11460.55,0.0,1259.5,11460.55,6,3,6,3,0
120002,2025-04-01,2026-03-31,0.33,0.0,0.11,0.0,14641.7,0.0,1485.85,14010.18,9,3,9,5,0
120003,2025-04-01,2026-03-31,1.0,0.0,0.1,,16952.06,0.0,1685.21,16952.06,4,4,4,0,0
120004,2025-04-01,2026-03-31,0.59,0.46,0.14,0.0,65350.01,29809.4,4996.55,35350.01,17,10,17,6,0
120005,2025-04-01,2026-03-31,0.67,0.29,0.12,0.0,16214.92,4628.52,1980.5,16214.92,6,4,6,2,0
120006,2025-04-01,2026-03-31,0.38,0.04,0.11,0.0,44219.82,1719.5,3479.0,32333.600000000002,13,5,13,6,0
120007,2025-04-01,2026-03-31,0.38,0.0,0.12,0.0,16845.28,0.0,2076.31,16845.28,8,3,8,5,0
120008,2025-04-01,2026-03-31,0.64,0.0,0.15,0.0,28084.69,0.0,4128.88,27536.8,14,9,14,3,0
120009,2025-04-01,2026-03-31,0.9,0.0,0.14,0.0,28365.34,0.0,3967.1,28365.34,10,9,10,1,0
120010,2025-04-01,2026-03-31,0.58,0.53,0.13,0.0,30723.989999999998,16330.849999999999,3998.3,30417.02,12,7,12,4,0
120011,2025-04-01,2026-03-31,0.43,0.0,0.12,0.0,23319.4,0.0,2625.11,22166.440000000002,14,6,14,6,0
120012,2025-04-01,2026-03-31,0.67,0.04,0.11,0.0,23467.53,960.71,2507.21,23012.2,12,8,12,3,0
120013,2025-04-01,2026-03-31,0.69,0.04,0.11,0.0,43703.06,1738.9499999999998,4235.94,40209.1,13,9,13,3,0
120014,2025-04-01,2026-03-31,0.4,0.45,0.14,0.0,42508.06,19037.09,5894.16,42508.06,15,6,15,9,0
120015,2025-04-01,2026-03-31,0.5,0.41,0.1,0.0,34194.46,14000.63,2136.25,20783.51,12,6,12,4,0
120016,2025-04-01,2026-03-31,0.33,0.0,0.13,0.0,9113.369999999999,0.0,1102.3,8782.529999999999,6,2,6,3,0
120017,2025-04-01,2026-03-31,0.75,0.0,0.15,0.0,30656.670000000002,0.0,3798.72,25102.02,12,9,12,1,0
120018,2025-04-01,2026-03-31,0.55,0.02,0.1,0.0,36401.08,789.48,3220.41,31139.1,11,6,11,3,0
120019,2025-04-01,2026-03-31,0.8,0.38,0.14,0.0,39496.44,14829.66,5457.05,39077.1,10,8,10,1,0
120020,2025-04-01,2026-03-31,0.78,0.04,0.14,0.0,22525.03,904.43,2902.12,20758.440000000002,9,7,9,1,0
120021,2025-04-01,2026-03-31,0.56,0.0,0.12,0.0,32053.68,0.0,2534.55,20858.1,9,5,9,3,0
120022,2025-04-01,2026-03-31,0.57,0.0,0.1,0.0,28273.640000000003,0.0,2813.94,28055.06,7,4,7,2,0
120023,2025-04-01,2026-03-31,0.6,0.0,0.11,0.0,38313.6,0.0,3732.82,32764.38,10,6,10,1,0
120024,2025-04-01,2026-03-31,0.67,1.08,0.13,0.0,14576.32,15718.01,1944.0900000000001,14576.32,6,4,6,2,0
120025,2025-04-01,2026-03-31,0.73,0.57,0.13,0.0,34850.1,20011.79,2739.87,20596.79,11,8,11,2,0
120026,2025-04-01,2026-03-31,0.64,0.4,0.12,0.0,23471.510000000002,9482.85,2711.46,22910.89,11,7,11,3,0
120027,2025-04-01,2026-03-31,0.4,0.0,0.11,0.0,31275.17,0.0,1960.1599999999999,17159.38,10,4,10,5,0
120028,2025-04-01,2026-03-31,0.69,0.03,0.14,0.5,62504.36,1884.42,8516.95,62351.05,13,9,13,2,1
120029,2025-04-01,2026-03-31,0.6,0.0,0.12,0.0,15744.21,0.0,1737.46,14782.72,10,6,10,2,0
120030,2025-04-01,2026-03-31,0.62,0.04,0.14,0.0,21649.15,795.15,2852.62,21022.68,13,8,13,4,0
120031,2025-04-01,2026-03-31,0.75,0.0,0.12,0.0,8450.01,0.0,1016.79,8450.01,4,3,4,1,0
120032,2025-04-01,2026-03-31,0.62,0.05,0.13,0.0,9353.759999999998,434.96000000000004,1058.17,8402.45,8,5,8,1,0
120033,2025-04-01,2026-03-31,0.62,0.06,0.11,0.0,45842.83,2669.0200000000004,4984.4,45842.83,13,8,13,5,0
120034,2025-04-01,2026-03-31,0.5,0.0,0.16,0.33,27146.670000000002,0.0,4021.71,25646.72,14,7,14,3,1
120035,2025-04-01,2026-03-31,0.57,0.0,0.15,0.0,15431.35,0.0,2272.08,15431.35,7,4,7,3,0
120036,2025-04-01,2026-03-31,0.2,0.0,0.12,0.0,24126.91,0.0,1647.99,13636.23,10,2,10,6,0
120037,2025-04-01,2026-03-31,0.61,0.0,0.12,0.17,83506.88,0.0,9894.630000000001,83506.88,18,11,18,6,1
120038,2025-04-01,2026-03-31,0.64,0.0,0.13,0.0,53351.81,0.0,5055.92,39648.01,14,9,14,2,0
120039,2025-04-01,2026-03-31,0.5,0.28,0.12,0.0,23472.26,6491.209999999999,2776.58,23472.26,8,4,8,4,0
120040,2025-04-01,2026-03-31,0.38,0.0,0.09,0.0,14938.66,0.0,1360.31,14485.86,8,3,8,4,0
120041,2025-04-01,2026-03-31,0.5,0.71,0.12,0.0,22216.25,15707.9,2390.27,20501.0,14,7,14,3,0
120042,2025-04-01,2026-03-31,0.6,1.38,0.14,0.0,15038.78,20684.73,1583.1100000000001,11527.130000000001,10,6,10,2,0
120043,2025-04-01,2026-03-31,0.64,0.0,0.1,0.0,36676.54,0.0,3793.42,36436.229999999996,11,7,11,3,0
120044,2025-04-01,2026-03-31,0.79,2.24,0.13,0.0,40492.05,90593.51999999999,2865.9700000000003,22709.24,14,11,14,1,0
120045,2025-04-01,2026-03-31,0.5,2.75,0.1,0.0,13307.86,36576.89,1364.05,13307.86,6,3,6,3,0
