AgentCode,PeriodStart,PeriodEnd,RetentionRate_adj,SubmissionQuality,LRadj_BENEFIT_inverted,EarnedPremium,IncurredLoss,CommissionAmount,CommissionWrittenPremium,EligibleForRenewal,Renewals,PoliciesActive,NewCount,RewriteCount,Submitted,Quoted,Bound,RewrittenPolicyRatio,LossRatio,RetentionRate,LossRatio_adj,EP_percentile_peer,EP_decile_peer,EP_utility_peer
120000,2025-04-01,2026-03-31,0.9186,0.3256,0.3586,43909.76,15784.33,5617.71,43909.76,14,12,14,2,0,43.0,34.0,14.0,0.0,0.3595,0.8571,0.6414,0.8737541528239202,9,0.9734405183914585
120001,2025-04-01,2026-03-31,0.768,0.2727,0.3692,11460.55,0.0,1259.5,11460.55,6,3,6,3,0,22.0,18.0,6.0,0.0,0.0,0.5,0.6308,0.08970099667774087,1,0.8511301159195052
120002,2025-04-01,2026-03-31,0.672,0.3214,0.3896,14641.7,0.0,1485.85,14010.18,9,3,9,5,0,28.0,21.0,9.0,0.0,0.0,0.3333,0.6104,0.15946843853820597,2,0.8734351001238673
120003,2025-04-01,2026-03-31,0.9431,0.3636,0.4062,16952.06,0.0,1685.21,16952.06,4,4,4,0,0,11.0,9.0,4.0,,0.0,1.0,0.5938,0.22591362126245848,3,0.8867762071651297
120004,2025-04-01,2026-03-31,0.7999,0.34,0.3639,65350.01,29809.4,4996.55,35350.01,17,10,17,6,0,50.0,39.0,17.0,0.0,0.4561,0.5882,0.6361,0.973421926910299,10,1.0
120005,2025-04-01,2026-03-31,0.8432,0.3333,0.3315,16214.92,4628.52,1980.5,16214.92,6,4,6,2,0,18.0,16.0,6.0,0.0,0.2854,0.6667,0.6685,0.2026578073089701,3,0.8827280762191195
120006,2025-04-01,2026-03-31,0.6974,0.3714,0.5206,44219.82,1719.5,3479.0,32333.600000000002,13,5,13,6,0,35.0,30.0,13.0,0.0,0.0389,0.3846,0.4794,0.8770764119601329,9,0.9740812573850689
120007,2025-04-01,2026-03-31,0.6896,0.381,0.4054,16845.28,0.0,2076.31,16845.28,8,3,8,5,0,21.0,17.0,8.0,0.0,0.0,0.375,0.5946,0.22259136212624583,3,0.8862008357025243
120008,2025-04-01,2026-03-31,0.8324,0.3182,0.4772,28084.69,0.0,4128.88,27536.8,14,9,14,3,0,44.0,34.0,14.0,0.0,0.0,0.6429,0.5228,0.584717607973422,6,0.9327451713360727
120009,2025-04-01,2026-03-31,0.9294,0.303,0.4806,28365.34,0.0,3967.1,28365.34,10,9,10,1,0,33.0,29.0,10.0,0.0,0.0,0.9,0.5194,0.5980066445182725,6,0.9336505999959054
120010,2025-04-01,2026-03-31,0.7992,0.2927,0.298,30723.989999999998,16330.849999999999,3998.3,30417.02,12,7,12,4,0,41.0,30.0,12.0,0.0,0.5315,0.5833,0.702,0.6511627906976745,7,0.9409239705781801
120011,2025-04-01,2026-03-31,0.7219,0.4,0.4507,23319.4,0.0,2625.11,22166.440000000002,14,6,14,6,0,35.0,28.0,14.0,0.0,0.0,0.4286,0.5493,0.4152823920265781,5,0.915813938815469
120012,2025-04-01,2026-03-31,0.841,0.3077,0.4317,23467.53,960.71,2507.21,23012.2,12,8,12,3,0,39.0,26.0,12.0,0.0,0.0409,0.6667,0.5683,0.4219269102990033,5,0.9163905280595239
